frame_index,timestamp_us,time_seconds,shot_id,shot_local_frame,subtitles_active,audio_active
0,0,0.000000,shot_001,0,,audio_001
1,41667,0.041667,shot_001,1,,audio_001
2,83333,0.083333,shot_001,2,,audio_001
3,125000,0.125000,shot_001,3,,audio_001
4,166667,0.166667,shot_001,4,,audio_001
5,208333,0.208333,shot_001,5,,audio_001
6,250000,0.250000,shot_001,6,,audio_001
7,291667,0.291667,shot_001,7,,audio_001
8,333333,0.333333,shot_001,8,,audio_001
9,375000,0.375000,shot_001,9,,audio_001
10,416667,0.416667,shot_001,10,,audio_001
11,458333,0.458333,shot_001,11,,audio_001
12,500000,0.500000,shot_001,12,,audio_001
13,541667,0.541667,shot_001,13,,audio_001
14,583333,0.583333,shot_001,14,,audio_001
15,625000,0.625000,shot_001,15,,audio_001
16,666667,0.666667,shot_001,16,,audio_001
17,708333,0.708333,shot_001,17,,audio_001
18,750000,0.750000,shot_001,18,,audio_001
19,791667,0.791667,shot_001,19,,audio_001
20,833333,0.833333,shot_001,20,,audio_001
21,875000,0.875000,shot_001,21,,audio_001
22,916667,0.916667,shot_001,22,,audio_001
23,958333,0.958333,shot_001,23,,audio_001
24,1000000,1.000000,shot_001,24,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
25,1041667,1.041667,shot_001,25,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
26,1083333,1.083333,shot_001,26,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
27,1125000,1.125000,shot_001,27,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
28,1166667,1.166667,shot_001,28,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
29,1208333,1.208333,shot_001,29,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
30,1250000,1.250000,shot_001,30,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
31,1291667,1.291667,shot_001,31,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
32,1333333,1.333333,shot_001,32,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
33,1375000,1.375000,shot_001,33,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
34,1416667,1.416667,shot_001,34,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
35,1458333,1.458333,shot_001,35,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
36,1500000,1.500000,shot_001,36,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
37,1541667,1.541667,shot_001,37,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
38,1583333,1.583333,shot_001,38,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
39,1625000,1.625000,shot_001,39,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
40,1666667,1.666667,shot_001,40,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
41,1708333,1.708333,shot_001,41,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
42,1750000,1.750000,shot_001,42,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
43,1791667,1.791667,shot_001,43,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
44,1833333,1.833333,shot_001,44,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
45,1875000,1.875000,shot_001,45,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
46,1916667,1.916667,shot_001,46,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
47,1958333,1.958333,shot_001,47,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
48,2000000,2.000000,shot_001,48,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
49,2041667,2.041667,shot_001,49,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
50,2083333,2.083333,shot_001,50,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
51,2125000,2.125000,shot_001,51,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
52,2166667,2.166667,shot_001,52,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
53,2208333,2.208333,shot_001,53,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
54,2250000,2.250000,shot_001,54,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
55,2291667,2.291667,shot_001,55,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
56,2333333,2.333333,shot_001,56,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
57,2375000,2.375000,shot_001,57,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
58,2416667,2.416667,shot_001,58,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
59,2458333,2.458333,shot_001,59,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
60,2500000,2.500000,shot_001,60,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
61,2541667,2.541667,shot_001,61,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
62,2583333,2.583333,shot_001,62,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
63,2625000,2.625000,shot_001,63,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
64,2666667,2.666667,shot_001,64,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
65,2708333,2.708333,shot_001,65,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
66,2750000,2.750000,shot_001,66,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
67,2791667,2.791667,shot_001,67,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
68,2833333,2.833333,shot_001,68,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
69,2875000,2.875000,shot_001,69,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
70,2916667,2.916667,shot_001,70,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
71,2958333,2.958333,shot_001,71,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
72,3000000,3.000000,shot_001,72,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
73,3041667,3.041667,shot_001,73,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
74,3083333,3.083333,shot_001,74,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
75,3125000,3.125000,shot_001,75,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
76,3166667,3.166667,shot_001,76,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
77,3208333,3.208333,shot_001,77,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
78,3250000,3.250000,shot_001,78,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
79,3291667,3.291667,shot_001,79,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
80,3333333,3.333333,shot_001,80,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
81,3375000,3.375000,shot_001,81,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
82,3416667,3.416667,shot_001,82,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
83,3458333,3.458333,shot_001,83,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
84,3500000,3.500000,shot_001,84,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
85,3541667,3.541667,shot_001,85,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
86,3583333,3.583333,shot_001,86,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
87,3625000,3.625000,shot_001,87,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
88,3666667,3.666667,shot_001,88,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
89,3708333,3.708333,shot_001,89,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
90,3750000,3.750000,shot_001,90,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
91,3791667,3.791667,shot_001,91,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
92,3833333,3.833333,shot_001,92,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
93,3875000,3.875000,shot_001,93,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
94,3916667,3.916667,shot_001,94,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
95,3958333,3.958333,shot_001,95,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
96,4000000,4.000000,shot_001,96,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
97,4041667,4.041667,shot_001,97,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
98,4083333,4.083333,shot_001,98,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
99,4125000,4.125000,shot_001,99,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
100,4166667,4.166667,shot_001,100,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
101,4208333,4.208333,shot_001,101,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
102,4250000,4.250000,shot_001,102,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
103,4291667,4.291667,shot_001,103,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
104,4333333,4.333333,shot_001,104,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
105,4375000,4.375000,shot_001,105,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
106,4416667,4.416667,shot_001,106,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
107,4458333,4.458333,shot_001,107,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
108,4500000,4.500000,shot_001,108,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
109,4541667,4.541667,shot_001,109,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
110,4583333,4.583333,shot_001,110,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
111,4625000,4.625000,shot_001,111,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
112,4666667,4.666667,shot_001,112,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
113,4708333,4.708333,shot_001,113,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
114,4750000,4.750000,shot_001,114,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
115,4791667,4.791667,shot_001,115,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
116,4833333,4.833333,shot_001,116,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
117,4875000,4.875000,shot_001,117,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
118,4916667,4.916667,shot_001,118,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
119,4958333,4.958333,shot_001,119,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
120,5000000,5.000000,shot_001,120,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
121,5041667,5.041667,shot_001,121,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
122,5083333,5.083333,shot_001,122,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
123,5125000,5.125000,shot_001,123,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
124,5166667,5.166667,shot_001,124,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
125,5208333,5.208333,shot_001,125,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
126,5250000,5.250000,shot_001,126,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
127,5291667,5.291667,shot_001,127,"At Aulis, the winds died. A thousand ships lay motionless upon a stagnant sea.",audio_001
